EAN/GTIN,TITULO,MARCA,CATEGORIA,SUB-CATEGORIA,IMAGE,VALOR,ORIGEM
1789605030174,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605030597,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605030597,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605035640,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000000107,"ARAME GALVANIZADO - Nº14(2,10mm) A10=FL",GERDAU,FERRAGENS,ARAME,https://cdn.grupolle.com.br/produtos/962/962.jpg,indisponivel,https://www.lleferragens.com.br/produto/962/arame-galvanizado-gerdau-no14-2-10mm-a10-fl
2000000053820,"BROCA WIDIA CONCRETO - 07,144mm 9/32"" A10",IRWIN,FERRAMENTAS ELETRICAS,ACESSORIOS,https://cdn.grupolle.com.br/produtos/1934/1934.jpg,indisponivel,https://www.lleferragens.com.br/produto/1934/broca-widia-concreto-irwin-07-144mm-9-32-a10
2000000059167,"BROCA AÇO RÁPIDO METAL - 03,572mm 9/64"" A10",IRWIN,FERRAMENTAS ELETRICAS,ACESSORIOS,https://cdn.grupolle.com.br/produtos/1896/1896.jpg,indisponivel,https://www.lleferragens.com.br/produto/1896/broca-aco-rapido-metal-irwin-03-572mm-9-64-a10
2000000059402,"BROCA AÇO RÁPIDO METAL - 03,175mm 1/8"" A10",IRWIN,FERRAMENTAS ELETRICAS,ACESSORIOS,https://cdn.grupolle.com.br/produtos/1895/1895.jpg,indisponivel,https://www.lleferragens.com.br/produto/1895/broca-aco-rapido-metal-irwin-03-175mm-1-8-a10
2000000068565,SOQUETE PORCELANA - GU10 A20/1000,HF,ILUMINACAO,RECEPTACULO LAMPADA,https://cdn.grupolle.com.br/produtos/18325/18325.jpg,indisponivel,https://www.lleferragens.com.br/produto/18325/soquete-porcelana-hf-gu10-a20-1000
2000000073378,"BROCA AÇO RÁPIDO METAL - 03,969mm 5/32"" A10",IRWIN,FERRAMENTAS ELETRICAS,ACESSORIOS,https://cdn.grupolle.com.br/produtos/1897/1897.jpg,indisponivel,https://www.lleferragens.com.br/produto/1897/broca-aco-rapido-metal-irwin-03-969mm-5-32-a10
2000000093444,"BROCA WIDIA CONCRETO - 07,938mm 5/16"" A10",IRWIN,FERRAMENTAS ELETRICAS,ACESSORIOS,https://cdn.grupolle.com.br/produtos/1935/1935.jpg,indisponivel,https://www.lleferragens.com.br/produto/1935/broca-widia-concreto-irwin-07-938mm-5-16-a10
2000000102054,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000110158,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000207513,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000428703,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000428758,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000001089606,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000001089613,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010012,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010029,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010036,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2017454500008,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2789895982933,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3016661147852,Sanduicheira Arno Sanduicheira Arno Sacb Preta 110v,Arno,Cozinha,Sanduicheiras,https://m.media-amazon.com/images/I/71Ark9ACbIL._AC_SX450_.jpg,"209,90",https://www.amazon.com.br/Arno-SACB-Sanduicheira-Preta/dp/B076X81YCR/
3016661151842,"Cafeteira Filtro Uno, Arno, CF06, Vermelha",Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/71juBl6XPyL._AC_SY550_.jpg,indisponivel,https://www.amazon.com.br/Cafeteira-Filtro-Arno-CF06-Vermelha/dp/B07CX66P2T
3016661152917,Grill Compact Uno Arno Vermelho 110v,Arno,Cozinha,Sanduicheiras,https://images-na.ssl-images-amazon.com/images/I/719e7uqfPjL.__AC_SY300_SX300_QL70_ML2_.jpg,"206,99",https://www.amazon.com.br/Grill-Compact-Arno-GUNO-Vermelho/dp/B07GFBMC9Q/
3016661155758,Cafeteira Filtro Preferita 750ml Cfpf Arno Preto 110v,Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/31tJRjTN8jL._AC_SY450_.jpg,"229,90",https://www.amazon.com.br/Cafeteira-Filtro-Preferita-750ml-Arno/dp/B07VF73WPQ/
3016661157264,Cafeteira Filtro Perfectta 600ml Cfpi Arno Perfectta Preto E Inox 110v,Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/61Kuzrs9xiL._AC_SY450_.jpg,"237,90",https://www.amazon.com.br/Cafeteira-Filtro-Perfectta-600ml-Arno/dp/B07VJJM4D1/
3016661157264,Cafeteira Filtro Perfectta 600ml Cfpi Arno Perfectta Preto E Inox 110v,Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/61Kuzrs9xiL._AC_SY450_.jpg,"237,90",https://www.amazon.com.br/Cafeteira-Filtro-Perfectta-600ml-Arno/dp/B07VJJM4D1/
